"","Ticket.Number","Ticket.Date.And.Time","Ticket.Address"
"1",48664,"10/4/15 1:10","2311 PROSPECT ST"
"2",48663,"10/4/15 12:40","WARRING ST /  DWIGHT WAY"
"3",48752,"10/9/15 18:20","1615 PRINCE ST"
"4",49123,"11/14/15 18:10","PiEDMONT AVE / CHANNING WAY"
"5",50794,"3/17/16 9:03","2707 COLLEGE AVE"
"6",52388,"6/25/16 12:55","2151 M L KING JR WAY"
"7",52476,"7/1/16 16:59","2151 M L KING JR WAY"
"8",52493,"7/1/16 22:00","2333 COLLEGE AVE"
"9",52941,"8/9/16 21:00","2506 HASTE ST"
"10",52943,"8/9/16 21:00","2506 HASTE ST"
"11",52971,"8/19/16 9:05","SHATTUCK AVE / DELAWARE ST"
"12",52948,"8/19/16 11:20","2722 BANCROFT WAY"
"13",52950,"8/19/16 23:06","PIEDMONT AVE / BANCROFT WAY"
"14",52949,"8/19/16 23:15","2722 BANCROFT WAY"
"15",53067,"8/20/16 0:05","2700 DURANT AVE"
"16",53072,"8/20/16 11:00","PIEDMONT AVE / CHANNING WAY"
"17",53071,"8/20/16 11:10","PIEDMONT AVE / CHANNING WAY"
"18",53070,"8/20/16 11:45","PIEDMONT AVE / CHANNING WAY"
"19",53032,"8/20/16 13:00","2439 DURANT AVE"
"20",53082,"8/20/16 21:45","6310 COLLEGE AVE"
"21",53090,"8/20/16 22:30","PIEDMONT AVE / CHANNING WAY"
"22",53083,"8/20/16 22:58","PIEDMONT AVE / CHANNING WAY"
"23",53108,"8/20/16 23:45","PIEDMONT AVE / CHANNING WAY"
"24",53121,"8/21/16 19:23","2707 COLLEGE AVE"
"25",53030,"8/21/16 21:52","PIEDMONT AVE / HASTE ST"
"26",53027,"8/21/16 23:58","WARRING ST / CHANNING WAY"
"27",53040,"8/21/16 23:58","WARRING ST / CHANNING WAY"
"28",53043,"8/22/16 0:15","CHANNING WAY / WARRING ST"
"29",53042,"8/22/16 0:38","WARRING ST / CHANNING WAY"
"30",53122,"8/25/16 8:20","2707 COLLEGE AVE"
"31",53051,"8/25/16 22:51","DLIRANT AVE /TELEGRAPH AVE"
"32",53056,"8/25/16 23:38","TELEGRAPH AVE / CHANNING WAY"
"33",53167,"8/26/16 10:35","2601 TELEGRAPH  AVE"
"34",53063,"8/26/16 21:55","CHANNING WAY / TELEGRAPH AVE"
"35",53174,"8/26/16 22:10","1444 SHATTUCK AVE"
"36",53173,"8/26/16 22:11","1444 SHATTUCK AVE"
"37",53166,"8/27/16 12:45","PIEDMONT AVE / DURANT AVE"
